customer_id,avg_transaction_amount,transaction_count_30d,refund_rate,signup_channel,account_age_days,support_ticket_count_30d,avg_resolution_time,region
cust_0000,1597.691802668704,6,0.22728133753571123,organic,212,2,15.062595610359686,south
cust_0001,1771.2713280315425,6,0.18290531128640694,organic,1394,0,10.01346394021389,north
cust_0002,1265.7882474591722,8,0.15486434343274463,paid_ad,1067,1,3.7971076384157865,south
cust_0003,1136.5307507498608,5,0.17565636740583557,partner,840,1,11.975077633000211,north
cust_0004,703.2647155514542,10,0.20126416353689028,paid_ad,1494,0,14.106746882460056,north
cust_0005,1888.6491927944805,6,0.10206588908136037,paid_ad,1427,1,9.948716539404767,north
cust_0006,1506.6629202304189,6,0.1166266218263683,paid_ad,110,1,10.82453877410158,west
cust_0007,1582.2925379787312,8,0.23090010450902212,organic,265,1,9.21442383071026,north
cust_0008,1186.5620493977547,7,0.13835301864248006,paid_ad,630,2,13.868605825951573,east
cust_0009,1990.5992117143842,7,0.18793341153305632,paid_ad,820,1,7.4164522349754085,north
cust_0010,1877.2802310712066,10,0.17280672859202212,paid_ad,707,1,17.78203317877201,east
cust_0011,1451.270447404924,7,0.19184252748938782,paid_ad,1213,2,14.266634931752098,west
cust_0012,1277.654616839087,4,0.2549044210739766,partner,91,0,12.515431260125096,west
cust_0013,1357.323446376568,6,0.13940656520923148,paid_ad,375,4,11.524479416844457,east
cust_0014,1180.5497830301404,7,0.15169625487776114,paid_ad,353,2,18.719015855098966,south
cust_0015,1510.6256596962164,7,0.13609878779596127,paid_ad,940,1,13.864628000479177,north
cust_0016,1253.532912119781,9,0.1463580122431733,paid_ad,1390,1,9.53972756820437,north
cust_0017,1734.2170082168168,9,0.06929289276927912,paid_ad,997,1,12.567942287011785,east
cust_0018,1356.2125701365026,4,0.20675458034201205,paid_ad,872,2,14.708392751406091,north
cust_0019,1358.4171744242567,7,0.10084730942467891,paid_ad,1047,1,8.41384660204129,north
cust_0020,2114.9012016807965,11,0.24185106355757915,organic,1472,0,15.448596236893628,west
cust_0021,1209.7121909791779,11,0.06900675135552116,paid_ad,1145,0,11.133641129046618,east
cust_0022,872.8336448218141,7,0.08078947654574338,organic,820,1,13.364023489985376,east
cust_0023,1646.486076962979,9,0.19076477605429493,paid_ad,238,2,12.60163745123296,north
cust_0024,668.8525954362508,10,0.14971753877350963,organic,533,2,4.898730131965068,north
cust_0025,1605.7514543302882,7,0.19733246777622285,organic,770,2,9.903828172540727,west
cust_0026,1892.6880567570568,11,0.16448290046691302,paid_ad,1376,4,14.606790413181512,south
cust_0027,1528.0460123016453,7,0.11150974688771008,referral,541,0,4.036168376708039,south
