customer_id,payment_amount,tx_frequency_1h,device_trust_score,failed_login_attempts,ip_risk_score,is_vpn
cust_0000,80.00938107781211,5,0.7712232674049141,1,0.13204952327602237,no
cust_0001,163.70721613310008,3,0.845739691231389,0,0.17241268284304997,no
cust_0002,196.12143210254575,2,0.8065954168577005,0,0.1295497426311786,no
cust_0003,139.9025585391444,1,0.8575986005291261,0,0.18390286680534182,no
cust_0004,189.25283147804927,2,0.9971977186324709,0,0.08327814995556346,no
cust_0005,170.56875365577528,3,0.8736047833161695,0,0.14530339285930013,no
cust_0006,158.847186768856,2,0.6866000196775621,1,0.18567171092444545,yes
cust_0007,107.19826677726827,0,0.8642198312332177,1,0.13789847943129965,no
cust_0008,142.420166767073,1,0.7715071575795263,0,0.13987099864758373,no
cust_0009,160.20005777093527,3,0.8963544551302337,0,0.19468740994947922,no
cust_0010,131.67892057989502,5,0.933806918585856,1,0.27264029720610516,no
cust_0011,167.40653952491567,5,0.8783072276846817,0,0.18039477580633284,no
cust_0012,126.65619798709342,2,0.9906684520587113,0,0.17309298570338447,no
cust_0013,182.67388286743113,1,0.9559144399363243,0,0.10926590168236601,no
cust_0014,176.90883222838644,0,0.987791778621493,2,0.1781556869812689,no
cust_0015,145.8235542643749,1,0.7210856658140551,1,0.13759488817536408,no
cust_0016,128.74878492592362,1,0.9124950124765439,0,0.19810558884831006,no
cust_0017,191.18930740533384,2,0.6945144881223032,1,0.15570660672842865,no
cust_0018,132.4745750918233,4,0.9938058244038015,1,0.24857612956752523,no
cust_0019,105.26727014978255,0,0.8270045957352111,0,0.13634808934366613,no
cust_0020,214.7592664270104,2,0.8486657329245477,1,0.20557600500774448,no
cust_0021,211.66420698053628,3,0.7209967741211456,2,0.0244113003515927,no
cust_0022,139.92483443147148,4,0.8914561974466039,0,0.1616565481832941,no
cust_0023,116.3025704699481,2,0.9163244706396921,0,0.21287395216949462,no
cust_0024,157.38074762255772,2,0.9093064734301226,0,0.21833190779733763,no
cust_0025,187.4832880443581,6,0.7269685463656042,1,0.15429173083838066,no
cust_0026,179.24001375339236,1,0.8210394978200245,1,0.17420641272400045,no
cust_0027,204.46224500581323,0,0.7617395871619269,0,0.12517222973533965,no
cust_0028,136.9504776319079,5,0.8152537879994805,0,0.11343225551436424,no
cust_0029,152.22704059419107,3,0.7645436641344621,0,0.2071683742095704,no
cust_0030,158.8959843422122,2,0.702533576978406,0,0.15102118322622454,no
cust_0031,92.27132019098651,2,0.8281801401585567,0,0.08858181138309959,no
cust_0032,119.74590777622257,2,0.877904427926907,0,0.14561153922829878,no
cust_0033,182.65816044077144,0,0.7811924520456651,1,0.10627335832036762,no
cust_0034,180.01779046136713,2,0.8223149966741592,0,0.11333520505720553,no
cust_0035,131.76212290127992,3,0.8613557682036204,0,0.1309963189234032,no
cust_0036,197.584890721165,3,0.8578613868831735,0,0.1657024764258627,no
cust_0037,82.37532694465584,0,0.8608300413764499,0,0.19655986303027648,no
cust_0038,95.7440380455475,3,0.8325412212831728,1,0.11188538739128394,no
cust_0039,100.70261944340295,0,0.8804602408088885,1,0.20142373088741286,no
cust_0040,128.22243353310142,2,0.8690980425151169,0,0.15266050352550245,no
cust_0041,123.2731305274629,0,0.8607638128093438,0,0.12797715615931016,no
cust_0042,150.29258252915614,0,0.9811768479595124,0,0.1530487153253215,no
cust_0043,125.48245058087349,4,0.8008411888468311,1,0.17060611314951554,yes
cust_0044,201.98992299021236,1,0.7412775552301559,0,0.14666116612629268,no
cust_0045,80.67617505386876,2,0.8030177189907151,1,0.15591416894916793,no
cust_0046,110.6675960348148,2,0.6945155443356044,0,0.21344349623345443,no
cust_0047,164.30031012669463,2,0.8325692406420762,0,0.1315117532205535,no
cust_0048,85.45685988711297,1,0.7719793152811087,0,0.04035262158056062,no
cust_0049,208.82855466448515,2,0.8647500762572502,1,0.17924713396698858,no
cust_0050,102.47929610729122,3,0.8591400589305447,2,0.12965180010455846,no
cust_0051,128.0101522585804,0,0.9175477423547598,0,0.12013754826181378,no
cust_0052,112.39815353820927,1,0.8363342354893154,1,0.13356241912256933,no
cust_0053,116.88270542536517,3,0.8252415259496828,0,0.18796034826720998,yes
cust_0054,154.35453871334718,1,0.886342465535312,0,0.19165146691714163,no
cust_0055,170.3123836196928,1,0.8744860123929339,0,0.07616783141439382,no
cust_0056,115.51090613958081,1,0.9040916763954739,0,0.15779338942707802,no
cust_0057,199.97878970907917,4,0.918517594235635,0,0.23847832203487715,no
cust_0058,146.815550163304,2,0.833272502470267,0,0.1115278177326154,no
cust_0059,114.41074074939864,2,0.9032628398906649,3,0.10791586794847258,no
cust_0060,114.7280644206793,5,0.8757362753768143,0,0.2302721125133586,yes
cust_0061,150.7455579795224,2,0.8895505934934269,0,0.1253051390984719,no
cust_0062,159.51378487694487,2,0.8024165051767462,0,0.01306596552808915,no
cust_0063,150.5419419451445,0,0.7605002965257879,3,0.14142537567427685,no
cust_0064,84.57882402476712,0,0.7621910472236243,1,0.21760477817045354,yes
cust_0065,108.23160489162733,3,0.8280445216343854,0,0.06904042511845787,yes
cust_0066,174.52155526750184,2,0.7332023237004097,0,0.14269329519832574,no
cust_0067,179.44820853295295,2,0.8438635056818194,1,0.13706453256773457,no
cust_0068,191.07685757599162,1,0.8931798461511703,0,0.1729868399680845,no
cust_0069,92.71237555764293,1,0.8812708855895421,1,0.158495825440753,no
cust_0070,76.35246799253132,0,0.7795197110121417,0,0.14667030398587005,no
cust_0071,164.64372904669216,1,0.808953189031568,0,0.11064144239210769,no
cust_0072,136.72891459788767,1,0.7503822446347768,0,0.1903338493785025,no
cust_0073,122.43128087640987,4,0.7384191072781128,0,0.1869312913828494,no
cust_0074,231.38430246019735,4,0.9764535669581992,0,0.13577036690591965,no
cust_0075,127.97142352341629,2,0.8499462369612072,1,0.1414688107306467,no
cust_0076,180.01813321307364,2,0.8433044668529951,2,0.08638116296000124,no
cust_0077,97.72030643676723,0,0.9594014423578133,3,0.11879121779718688,yes
cust_0078,173.22293343177097,2,0.7234356592721054,1,0.1792422945641615,no
cust_0079,105.81907629350825,1,0.8353793766379498,0,0.14603210369968392,no
cust_0080,177.6048588089883,1,1.0,1,0.249228193078184,no
cust_0081,177.47560264553618,2,0.9271166025548406,1,0.05808975009306113,no
cust_0082,87.33249881686436,3,0.8625948241200976,0,0.1830921887565839,no
cust_0083,186.19896485866724,0,0.7884730109462428,0,0.10549866349558705,no
cust_0084,181.1528959729227,3,0.7555013220123111,0,0.2017658533927266,no
cust_0085,167.12931482386963,3,0.8782857230665905,0,0.12852544486338524,no
cust_0086,154.35487959591657,1,0.9265077546170422,0,0.18473723636986736,no
cust_0087,151.13134539292292,1,0.7289342586586578,0,0.12481402258025834,no
cust_0088,126.84696700836047,1,0.913054961352222,1,0.16713448376801318,no
